polygon_id,zone_layer,source_band,zone_id,count,mean,sum,min,max,Scenario,percentage_of_sum,LST Zone
1,lst_classification_intervention_map.tif,Hogares con jefes de familia de 60 años y más,2,281,0.012889273,3.6218858,0.0,0.023205653,Intervención,14.554924011230469,Zona de transición
1,lst_classification_intervention_map.tif,Hogares con jefes de familia de 60 años y más,3,1431,0.014858406,21.262379,0.0,0.03493732,Intervención,85.44507598876953,Zona de impacto
1,lst_classification_twin_map.tif,Total de hogares,2,104,0.022719286,2.3628058,0.00034983797,0.061365698,Base,2.974714517593384,Zona de transición
1,lst_classification_twin_map.tif,Total de hogares,3,1573,0.047535397,74.77318,0.0,0.111347854,Base,94.1375961303711,Zona de impacto
1,lst_classification_twin_map.tif,Total de hogares,4,35,0.06553376,2.2936816,0.06394374,0.07321884,Base,2.8876888751983643,Zona núcleo
1,lst_classification_intervention_map.tif,Total de hogares,2,281,0.037056606,10.412907,0.0,0.066716164,Intervención,13.109593391418457,Zona de transición
1,lst_classification_intervention_map.tif,Total de hogares,3,1431,0.048229743,69.01676,0.0,0.111347854,Intervención,86.89039611816406,Zona de impacto
1,lst_classification_twin_map.tif,Población con discapacidad,2,104,0.0034447436,0.35825333,5.3043135e-05,0.009304389,Base,5.117905139923096,Zona de transición
1,lst_classification_twin_map.tif,Población con discapacidad,3,1573,0.004222343,6.641746,0.0,0.01522962,Base,94.88209533691406,Zona de impacto
1,lst_classification_twin_map.tif,Población con discapacidad,4,35,0.0,0.0,0.0,0.0,Base,0.0,Zona núcleo
